pos/0,pos/1,neg/0,neg/1,neu/0,neu/1
stay,21,ewtf,21,instead,15
medium,21,barking,21,detoday,15
saved,21,ukraukrainian,21,later,15
sending,21,telephone,20,expensizelensky,15
banner,21,2019,20,macron,15
kind,21,exactly,20,urc2022,15
lol,21,next,20,tv,15
king,21,fuckizelensky,20,countryzelensky,15
gop,21,paradox,20,cartoon,15
rumour,21,midst,20,betting,15
opportunityzelenskyy,21,french,20,rusputting,15
analysis,21,man,20,life,15
thmust,21,might,20,wlong,15
degreeputin,21,ctricky,20,zelenskynew,14
vehicle,21,strives,20,sent,14
probably,20,nothing,20,zelenskyget,14
glorifying,20,history,20,parent,14
propping,20,politician,20,heavy,14
fraudulent,20,african,20,really,14
genocide,20,evil,20,work,14
tried,20,huge,20,changed,14
entire,20,decided,20,taking,14
use,20,china,20,talking,14
regained,20,team,20,run,14
nationalist,20,colossal,20,alliance,14
750,20,france,20,urgency,14
enjoyheard,20,stopped,20,least,14
citizen,20,face,20,handshake,14
small,20,zelenskyyanother,20,opening,14
targeting,20,election,20,kitchen,14
disappearing,20,taskmedium,20,wvolodymyr,14
nothing,20,tacmoney,20,visiting,14
secure,20,fuckileader,19,signtoday,14
guarantee,20,reveals,19,sold,14
successful,20,recording,19,invasion,14
stronghold,20,violating,19,yetzelenskyy,14
statement,20,confidentiality,19,response,14
always,20,talking,19,objective,14
stressing,20,setleader,19,000,14
cancel,20,fool,19,comment,14
steal,20,gon,19,sitting,13
rate,20,na,19,billionaire,13
degreedirector,20,saw,19,saw,13
shortage,20,list,19,750bn,13
toyota,20,jochechnya,19,rkiye,13
de,20,estimatezelensky,19,oligarch,13
jong,20,wanted,19,maybe,13
neymar,20,fascist,19,zelenskyukrainian,13
ronaldo,20,scale,19,building,13
fabrizio,20,chicago,19,frontlzelensky,13
sterling,20,finland,19,knew,13
chelsea,20,missing,19,series,13
vowed,19,fled,19,border,13
zelenskyzelensky,19,heartbreaking,19,adviser,13
telling,19,mediawatch,19,asks,13
spoken,19,quid,19,university,13
comedy,19,reporter,19,online,13
propaganda,19,damn,19,democracy,13
zelenskypatch,19,continues,19,rest,13
course,19,allowing,19,wanted,13
minded,19,ukravolodymyr,19,economic,13
distinguish,19,ukrainezelenskyy,19,ukrazelenskyy,13
place,19,lazy,19,firepower,13
famous,19,weird,19,blog,13
bannermany,19,certain,19,pregnant,12
withdrawal,19,frontline,19,court,12
dan,19,withdrawalzelensky,19,place,12
recent,19,zelenskysurprising,18,gave,12
real,19,forgottenboris,18,used,12
statemust,19,operation,18,parody,12
doubt,19,american,18,asking,12
megalomaniac,19,distraction,18,briefing,12
prevent,19,else,18,anyone,12
believe,18,crimea,18,land,12
wonder,18,csurprising,18,question,12
literally,18,tieleader,18,lobby,12
question,18,beyond,18,looking,12
national,18,range,18,pulled,12
commitment,18,probably,18,turn,12
whole,18,speak,18,seized,12
soopatch,18,mistake,18,rourke,12
kangarooheard,18,may,18,israeli,12
red,18,20,18,seems,12
hail,18,ukrazelenskyy,18,secretary,12
hear,18,theater,18,largest,12
global,18,scholz,18,power,12
george,18,read,18,presidetoday,12
soozelensky,18,viarussia,18,militia,12
job,18,20zelenskyy,18,italiana,12
seen,18,20president,18,review,12
check,18,reclaim,18,caf,12
voted,18,putinmoney,18,newspaper,12
taken,18,carrie,17,covering,12
park,18,codds,17,urc,12
future,18,responds,17,bypassing,12
happen,18,listen,17,happened,12
fmust,18,longer,17,rustoday,12
final,18,speaking,17,guest,12
ukrainepresident,18,e,17,camperdownvolodymyr,12
safe,18,forced,17,moldova,12
featuring,18,kid,17,occupy,12
kangaroo,18,please,17,75,12
business,18,parody,17,camperdownworld,12
someone,17,according,17,role,12
together,17,hate,17,europe,12
anyone,17,cut,17,moneypresident,12
washington,17,shame,17,solo,12
surprise,17,die,17,leveling,12
sound,17,abc,17,vindessport,12
thukraine,17,germany,17,semangatteamb,12
invaded,17,leave,17,wzelenskyy,12
trust,17,understand,17,japan,12
azov,17,channelzelensky,17,yetjohnson,12
huge,17,house,17,legal,12
sad,17,head,17,demand,12
showing,17,nukezelensky,17,exportzelenskyy,12
highland,17,v,17,ukraineseen,12
session,17,incompetent,17,ruszelenskyy,12
college,17,proxy,17,headvolodymyr,12
breaking,17,lysychanszelenskyy,17,worldjoint,12
spoke,17,battlefieldukraine,17,anderssonzelenskyy,12
starred,17,weekzelenskyy,17,moneyzelenskyy,12
blood,17,crisismoney,17,moneyknow,12
100,16,run,16,expknow,12
longer,16,fuckisurprising,16,returnseen,12
front,16,b,16,rus22,12
heart,16,find,16,pledge,12
join,16,aggressor,16,ton,12
player,16,whole,16,underway,12
restore,16,rather,16,create,12
else,16,kiev,16,returnfirst,12
neo,16,setzelensky,16,bucha,12
operation,16,n,16,headputting,12
number,16,forgottenjohnson,16,democracyknow,12
kangaroopresident,16,wait,16,telegrputting,12
realize,16,lied,16,x,12
