neutral/0,neutral/1,realization/0,realization/1,fear/0,fear/1,excitement/0,excitement/1,surprise/0,surprise/1,joy/0,joy/1,amusement/0,amusement/1,love/0,love/1,annoyance/0,annoyance/1,admiration/0,admiration/1,sadness/0,sadness/1,gratitude/0,gratitude/1,confusion/0,confusion/1,disapproval/0,disapproval/1,remorse/0,remorse/1,error/0,error/1,caring/0,caring/1,nervousness/0,nervousness/1,desire/0,desire/1,approval/0,approval/1,disgust/0,disgust/1,embarrassment/0,embarrassment/1,anger/0,anger/1,optimism/0,optimism/1,curiosity/0,curiosity/1,pride/0,pride/1,disappointment/0,disappointment/1
force,935,anti,5,1,4,much,4,shoot,4,band,4,haha,9,hi,4,trick,7,would,12,spend,4,brave,16,,,candidate,4,zel,3,,,criminal,4,,,medium,2,kanefield,8,busy,4,ring,1,6,4,albanese,4,,,,,give,3
united,928,collaboration,5,knew,4,faust,4,election,4,playing,4,world,9,ukrainian,4,keep,7,win,12,fourth,4,service,16,,,vote,4,sending,3,,,think,3,,,channel,2,imho,8,licking,4,zelens,1,dead,4,92,4,,,,,million,3
jo,914,law,5,nothing,4,would,4,coming,4,star,4,every,9,army,4,within,7,comedian,12,july,4,told,16,,,congress,4,untrained,3,,,critical,3,,,dictated,2,suited,8,arse,4,news,1,2,4,bdo,4,,,,,wank,3
seaport,911,enacted,5,2,4,feel,4,believe,4,spangled,4,lmao,9,warm,4,attention,7,one,11,mourning,4,america,13,,,ugh,4,men,3,,,reminder,3,,,western,2,gathering,8,rcortney,4,hello,1,dozen,4,1000,4,,,,,wont,3
video,868,quickly,5,horrified,4,saw,4,banned,4,bann,4,get,8,best,4,span,7,man,11,american,4,good,13,,,ron,4,three,3,,,cherish,3,,,elite,2,believe,7,repulsive,4,show,1,hospitalized,4,human,4,,,,,win,3
medium,866,think,5,true,4,dancing,4,opposition,4,meeting,4,going,8,friend,4,shame,6,canada,11,tragedy,4,love,13,,,justifying,4,needlessly,3,,,another,3,,,democratic,2,accepted,7,despise,4,true,1,shooter,4,shield,4,,,,,matter,3
modern,861,using,4,3,4,song,4,people,4,zele,4,real,8,also,4,meanwhile,6,reconstruction,11,deadly,4,breaking,12,,,shooter,4,sent,3,,,deeply,3,,,world,2,fully,7,entire,4,color,1,yes,4,remained,4,,,,,much,3
think,859,shud,4,told,4,announcing,4,saw,4,yea,4,anyone,8,even,4,crony,6,contribution,11,mass,4,tourism,12,,,end,4,dea,3,,,concerned,3,,,sacrificed,2,want,7,called,4,,,thieving,4,save,4,,,,,c,3
withdrawal,856,due,4,4,4,macron,4,though,4,drug,4,actor,8,admits,4,corrupt,6,global,11,shooting,4,announces,12,,,already,4,hi,2,,,go,3,,,much,2,kill,7,western,4,,,fucken,4,kremlin,4,,,,,apparently,3
destroyed,838,braindead,4,devastating,4,nh,4,wondering,4,ridden,4,sending,8,video,4,disrespectful,6,got,11,rising,4,meet,12,,,resisted,4,voicemail,2,,,away,3,,,help,2,wait,7,world,4,,,amp,4,9,4,,,,,gifting,3
22,837,policy,4,defeat,4,74th,4,delegati,4,continue,4,keep,8,primaril,4,also,6,see,11,missile,4,awol,12,,,never,4,president,2,,,nato,3,,,rebuild,2,second,7,longer,4,,,sleepy,4,wishing,4,,,,,meaningless,3
visited,815,joe,4,via,4,birthday,4,say,4,blowing,4,netflix,8,ever,4,believe,5,freedom,11,attack,4,message,12,,,truly,4,get,2,,,must,3,,,ww,1,given,7,care,4,,,joe,4,peace,4,,,,,letter,3
city,810,biden,4,want,4,tomorrow,4,article,4,market,4,subscription,8,mind,4,way,5,world,11,shopping,4,even,12,,,appreciated,4,phone,2,,,win,3,,,ukrainian,1,free,7,deluded,4,,,man,4,america,4,,,,,empty,3
life,808,enrire,4,ww3,4,government,4,completely,4,every,4,want,8,treasury,4,trouble,5,young,10,mall,4,comp,12,,,unhinged,4,right,2,,,russia,3,,,best,1,taxpayer,7,fool,4,,,without,4,tonight,4,,,,,promise,3
tonight,801,fight,4,force,4,inevitably,4,dismantling,4,even,4,entertain,8,nation,4,phone,5,de,9,1,4,line,12,,,vaush,4,sir,2,,,option,3,,,matter,1,expense,7,disgust,4,,,getting,4,many,4,,,,,could,3
say,798,amongst,4,break,4,put,4,dissent,4,present,4,find,8,wait,4,money,5,ask,9,000,4,faith,12,,,heard,4,put,2,,,fighting,2,,,lead,1,almost,7,us,4,,,gunned,4,hurting,4,,,,,never,3
bucha,796,themselve,4,russia,4,celebratory,4,honestly,4,cause,4,lass,8,albo,4,going,4,billion,9,inside,4,one,12,,,clip,4,wrong,2,,,independence,2,,,country,1,56,7,phone,4,,,pathetic,4,always,4,,,,,fulfilled,3
town,792,sh,4,risk,4,tweet,4,age,4,peace,4,scandal,7,tell,4,idiot,4,genius,9,got,4,troop,11,,,screeching,4,er,2,,,longer,2,,,personally,1,aid,7,human,4,,,excuse,4,hoping,4,,,,,even,3
read,772,slowly,4,conflagration,4,remember,4,enormous,4,icymi,4,way,7,workforce,4,war,4,brave,9,enormous,4,assured,11,,,ban,4,barry,2,,,feel,2,,,,,spending,7,president,4,,,nation,4,event,4,,,,,made,3
borodianka,772,steadily,4,tech,4,privat,4,stress,4,official,4,know,7,australia,4,anyone,4,much,9,mess,4,quiet,11,,,bach,4,plasterer,2,,,fre,2,,,,,audit,7,dirty,4,,,american,4,happen,4,,,,,grave,2
oblast,772,truth,4,abc,4,xaba,4,yet,4,including,4,everyone,7,gon,4,hiding,4,top,9,se,4,retirement,11,,,interested,4,kyiv,2,,,sustained,2,,,,,going,7,dancing,4,,,allowing,4,ever,4,,,,,mistake,2
preserve,770,surfacing,4,death,4,hayday,4,even,4,wished,4,photo,7,na,4,political,4,give,8,talk,4,tax,11,,,content,4,call,2,,,attack,2,,,,,accountability,7,clean,4,,,republican,4,need,4,,,,,amp,2
