word,word_count
ensure,15
ou,15
silent,15
sell,15
terrible,15
mess,15
wwii,15
allied,15
hill,15
independent,15
announcing,15
shut,15
went,15
guest,15
seem,15
warinukraine,15
inflation,15
murder,15
militia,15
bernie,15
frozen,15
repetition,15
hush,15
contribution,15
bomb,15
sometimes,15
dirt,15
others,15
pu,15
figure,15
funding,15
revealed,15
urc2022,15
collapse,15
active,15
glory,15
color,15
cocaina,15
defensive,15
domino,15
praying,15
likely,15
describing,15
malaysia,15
iri,15
priority,15
betting,15
rascal,15
chancellor,15
neocon,15
soiling,15
graveyard,15
sus,15
129,15
adult,15
latestnews,15
131st,15
29,15
expecting,14
fucking,14
distract,14
subject,14
whilst,14
protecting,14
received,14
dont,14
continually,14
twitter,14
direct,14
watched,14
joining,14
cry,14
armoured,14
sincerely,14
excellent,14
pow,14
indeed,14
po,14
flight,14
shamble,14
translation,14
newspaper,14
afraid,14
jan,14
interesting,14
britain,14
lysyschansk,14
across,14
rourke,14
urgency,14
relative,14
handshake,14
caesar,14
774400,14
anymore,14
assured,14
opening,14
ending,14
presi,14
package,14
major,14
kitchen,14
meant,14
dickhead,14
except,14
con,14
warning,14
began,14
body,14
fell,14
flew,14
upon,14
achieved,14
sit,14
propagandist,14
blowing,14
500,14
2020,14
dissenting,14
boot,14
inspiration,14
ghost,14
diplomatic,14
fella,14
volodymyrzelenskyy,14
kidding,14
flood,14
piece,14
44,14
polish,14
suit,14
normal,14
withdrawn,14
grinding,14
oct,13
honestly,13
public,13
strengthening,13
destruction,13
charging,13
planning,13
loving,13
nra,13
sovereign,13
fail,13
domestic,13
trending,13
named,13
sitting,13
briefing,13
pulled,13
towards,13
failing,13
ammunition,13
banker,13
remind,13
hey,13
option,13
pound,13
legitimate,13
inside,13
pop,13
26,13
mainstream,13
winter,13
count,13
ah,13
woke,13
tank,13
apartheidisrael,13
25,13
setting,13
victoria,13
tune,13
insane,13
schwab,13
map,13
begin,13
afford,13
obama,13
choose,13
bear,13
donated,13
ardern,13
base,13
illegal,13
durin,13
appreciate,13
secret,13
master,13
romney,13
alexander,13
language,13
filled,13
dangerous,13
philosopher,13
canadian,13
asahi,13
shimbun,13
staff,13
pursue,13
effective,13
investigation,13
pledged,13
encouraging,13
genocidal,13
relevant,13
thug,13
difference,13
horrifying,13
ht,13
lisichansk,12
gang,12
wheel,12
caller,12
administration,12
tho,12
clockwork,12
spend,12
bring,12
greedy,12
clip,12
pe,12
weekly,12
selfie,12
pls,12
bother,12
bj,12
borisjohnson,12
arse,12
sadly,12
truck,12
tolerate,12
combat,12
cute,12
writes,12
watching,12
worked,12
su,12
austral,12
beg,12
usual,12
lobby,12
everytime,12
lisa,12
finding,12
round,12
answering,12
walking,12
bottom,12
abroad,12
signifi,12
sight,12
acknowledge,12
owner,12
iii,12
quickly,12
humanity,12
airbusalbo,12
widodo,12
ur,12
scare,12
appeaser,12
inch,12
republic,12
scomo,12
inv,12
kindly,12
tech,12
inject,12
tragedy,12
svizzera,12
italiana,12
caf,12
urc,12
bypassing,12
knee,12
reminded,12
mogg,12
moldova,12
train,12
milli,12
bulletin,12
referred,12
space,12
insufficient,12
65,12
bos,12
panama,12
piano,12
carelessness,12
race,12
expense,12
paper,12
reach,12
revenge,12
decide,12
tbh,12
realized,12
cool,12
ww3,12
pure,12
tourism,12
awol,12
cooperation,12
impeaching,12
extorting,12
hammed,12
ro,12
extort,12
teach,12
neighboring,12
simple,12
executive,12
libya,12
jkt4810thann,12
warsaw,12
ghetto,12
betrays,12
gutieress,12
quarter,12
yg,12
impressed,12
dgn,12
pergi,12
jumpa,12
23feb2022,12
survive,12
external,12
conditional,12
besides,12
kissing,12
translates,12
uniquely,12
event,12
dirty,12
lover,12
131th,12
emanating,12
opportun,12
reaffirmed,12
whats,12
comp,12
cop,12
arming,12
bubbie,12
brick,12
elevate,12
misinterpreted,12
ron,12
x,12
starfighter,12
independenceday2022,12
glass,12
cou,12
county,12
shyster,12
drew,12
coverage,12
bragging,12
reunited,12
joseph,12
older,12
bringing,12
five,12
anthonyalbanese,12
challenging,12
delivering,12
issuing,12
ironclad,12
deeper,12
banning,12
petro,12
credited,12
outlined,12
martinez,12
espn,12
mueller,11
example,11
reckon,11
based,11
hilarious,11
medvedev,11
mario,11
praising,11
warned,11
offered,11
afu,11
spot,11
roll,11
merrick,11
volodomyr,11
persecutes,11
muslim,11
repeated,11
ottawa,11
redirecting,11
crowd,11
netherlands,11
casualty,11
19,11
fancy,11
stubborn,11
organization,11
significant,11
speaker,11
released,11
mouth,11
pretend,11
obtained,11
41,11
6th,11
pleasure,11
rub,11
shoulder,11
elite,11
bastard,11
si,11
suckered,11
bothered,11
basically,11
comic,11
october,11
fa,11
supposedly,11
document,11
citizenship,11
community,11
sooner,11
write,11
offshore,11
rock,11
success,11
north,11
starmer,11
imbecility,11
handcart,11
known,11
entertain,11
whose,11
road,11
sportsman,11
similar,11
theatre,11
pocketing,11
intel,11
voldemort,11
quiet,11
retirement,11
tod,11
nwo,11
usually,11
empire,11
risk,11
cruise,11
exact,11
coun,11
twice,11
quota,11
35m,11
repetative,11
hitler,11
throw,11
mf,11
dick,11
backing,11
potential,11
fear,11
caused,11
earlier,11
celebrated,11
thief,11
gi,11
paint,11
pic,11
warmongering,11
dire,11
heeded,11
grace,11
starring,11
aged,11
selfies,11
du,11
tape,11
silly,11
trick,11
annually,11
00,11
cayman,11
convincing,11
suggestion,11
ten,11
supreme,10
christian,10
zero,10
mil,10
biography,10
mon,10
rhetoric,10
stronger,10
sky,10
pocket,10
iraq,10
di,10
ops,10
yesterday,10
chi,10
plenty,10
occur,10
largely,10
backed,10
er,10
predictabl,10
damage,10
christ,10
michael,10
advance,10
hundred,10
silence,10
fast,10
damaged,10
location,10
lord,10
uniform,10
bloody,10
population,10
suddenly,10
tiny,10
strategically,10
imminent,10
hang,10
nah,10
trade,10
sits,10
returned,10
mate,10
tweeted,10
posted,10
drawn,10
timeline,10
union,10
orange,10
favor,10
ousts,10
scout,10
beat,10
false,10
owned,10
thunberg,10
stuck,10
volodymyrzelensky,10
remained,10
alongside,10
podolyak,10
tomorrow,10
carrot,10
javelin,10
noticed,10
controlled,10
abuse,10
somewhere,10
poo,10
portrait,10
fr,10
tony,10
fat,10
becomes,10
rebel,10
kicking,10
rob,10
yo,10
organisa,10
seek,10
abou,10
eng,10
contribute,10
saddam,10
hussain,10
murkowski,10
sullivan,10
2024,10
nee,10
ukrai,10
mapper,10
emotional,10
50th,10
liz,10
microsoft,10
supposed,10
georgia,10
mentioned,10
